geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Plateaux,2_sample_mean,9440648,2905,2905,1,1,5289806.5,,18303838.0
Maritime,2_sample_mean,9702177,4958,4958,1,1,5283706.0,,15253199.0
Plateaux,2_sample_mean,9629043,4382,4382,1,1,5283705.5,,19524094.0
Plateaux,2_sample_mean,9475149,3172,3172,1,1,5277605.0,,18303838.0
Kara,2_sample_mean,9475312,3173,3173,1,1,5277605.0,,13422815.0
Kara,2_sample_mean,9124451,422,422,1,1,5277605.0,,20134222.0
Kara,2_sample_mean,9547734,3738,3738,1,1,5271504.5,,12812687.0
Plateaux,2_sample_mean,9387698,2492,2492,1,1,5271503.0,,20744350.0
Centrale,2_sample_mean,9234433,1288,1288,1,1,5265402.0,,23794990.0
Plateaux,2_sample_mean,10226986,9063,9063,1,1,5265402.0,,20134222.0
Maritime,2_sample_mean,9400225,2592,2592,1,1,5259302.0,,15253199.0
Maritime,2_sample_mean,10317201,9769,9769,1,1,5259301.5,,12812687.0
Maritime,2_sample_mean,9394581,2548,2548,1,1,5259301.5,,12812687.0
Maritime,2_sample_mean,9803725,5753,5753,1,1,5259301.5,,12812687.0
Savanes,2_sample_mean,9872489,6290,6290,1,1,5259300.5,,25625374.0
Plateaux,2_sample_mean,9647509,4529,4529,1,1,5253199.5,,17083582.0
Maritime,2_sample_mean,9322455,1979,1979,1,1,5247099.5,,14032943.0
Maritime,2_sample_mean,10198950,8843,8843,1,1,5247099.5,,14032943.0
Plateaux,2_sample_mean,9888782,6419,6419,1,1,5247099.0,,12202559.0
Maritime,2_sample_mean,9467644,3115,3115,1,1,5247097.5,,32946910.0
Maritime,2_sample_mean,10265816,9369,9369,1,1,5247097.5,,32946910.0
Plateaux,2_sample_mean,9682616,4805,4805,1,1,5240998.0,,16473455.0
Savanes,2_sample_mean,9977633,7111,7111,1,1,5234896.0,,18913966.0
Maritime,2_sample_mean,10162063,8551,8551,1,1,5222694.0,,15253199.0
Centrale,2_sample_mean,9325951,2007,2007,1,1,5216593.0,,16473455.0
Plateaux,2_sample_mean,9466680,3107,3107,1,1,5216592.5,,10982303.0
Kara,2_sample_mean,9947329,6873,6873,1,1,5210491.5,,12812687.0
Savanes,2_sample_mean,9169070,772,772,1,1,5210491.0,,23184862.0
Plateaux,2_sample_mean,10011033,7368,7368,1,1,5204389.5,,18913966.0
Kara,2_sample_mean,9461025,3063,3063,1,1,5204389.5,,14643071.0
Plateaux,2_sample_mean,9527430,3582,3582,1,1,5198287.5,,19524094.0
Maritime,2_sample_mean,9246283,1379,1379,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9217184,1150,1150,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,10261893,9337,9337,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,10327090,9847,9847,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,10333832,9901,9901,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9542528,3698,3698,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9267866,1547,1547,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9339960,2116,2116,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9591081,4080,4080,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9645513,4513,4513,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,10143095,8402,8402,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,10287327,9535,9535,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9538314,3666,3666,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9868401,6259,6259,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9071666,5,5,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,9827078,5933,5933,1,1,5192187.5,,12202559.0
Maritime,2_sample_mean,10079482,7898,7898,1,1,5192187.5,,12202559.0
Savanes,2_sample_mean,9606154,4201,4201,1,1,5192187.0,,24405118.0
Maritime,2_sample_mean,10003891,7309,7309,1,1,5192187.0,,15253199.0
Centrale,2_sample_mean,9353997,2226,2226,1,1,5192187.0,,23794990.0
Savanes,2_sample_mean,9225632,1217,1217,1,1,5192186.5,,20744350.0
Plateaux,2_sample_mean,9514956,3483,3483,1,1,5192186.5,,15863327.0
Plateaux,2_sample_mean,9688812,4854,4854,1,1,5186085.0,,20134222.0
Centrale,2_sample_mean,9539591,3677,3677,1,1,5186085.0,,22574734.0
Centrale,2_sample_mean,9861994,6209,6209,1,1,5173882.5,,22574734.0
Kara,2_sample_mean,9205280,1058,1058,1,1,5167782.0,,15863327.0
Plateaux,2_sample_mean,9590910,4079,4079,1,1,5167782.0,,12202559.0
Plateaux,2_sample_mean,9389112,2502,2502,1,1,5167782.0,,12202559.0
Kara,2_sample_mean,10229946,9087,9087,1,1,5167782.0,,15863327.0
Plateaux,2_sample_mean,9171241,789,789,1,1,5161681.0,,10372175.0
Kara,2_sample_mean,9157382,680,680,1,1,5155580.0,,15253199.0
Plateaux,2_sample_mean,10318850,9783,9783,1,1,5155579.0,,17083582.0
Maritime,2_sample_mean,10147563,8438,8438,1,1,5149478.5,,15253199.0
Plateaux,2_sample_mean,9129637,464,464,1,1,5149477.5,,18913966.0
Plateaux,2_sample_mean,9531226,3612,3612,1,1,5131175.0,,16473455.0
Plateaux,2_sample_mean,10042449,7611,7611,1,1,5131175.0,,16473455.0
Plateaux,2_sample_mean,9365488,2317,2317,1,1,5131175.0,,16473455.0
Plateaux,2_sample_mean,10284212,9512,9512,1,1,5131174.5,,20744350.0
Centrale,2_sample_mean,9541149,3688,3688,1,1,5131174.0,,23184862.0
Plateaux,2_sample_mean,9601678,4168,4168,1,1,5131174.0,,18913966.0
Centrale,2_sample_mean,9914440,6621,6621,1,1,5131174.0,,23184862.0
Centrale,2_sample_mean,10000167,7280,7280,1,1,5131174.0,,23184862.0
Maritime,2_sample_mean,9114026,338,338,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,9360842,2280,2280,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,9570475,3918,3918,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,9612104,4248,4248,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,9696736,4916,4916,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,10140856,8384,8384,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,9337756,2099,2099,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,10039306,7586,7586,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,9692878,4886,4886,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,9872286,6288,6288,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,10238216,9152,9152,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,9274571,1600,1600,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,9808372,5789,5789,1,1,5125073.5,,12202559.0
Maritime,2_sample_mean,10000902,7285,7285,1,1,5125073.5,,12202559.0
