geogname1,type,event_id,period_no,occ_year,occ_month,occ_day,loss,standard_deviation,exposure_value
Lacs,1_analytic_mean,28687,20,1998,1,1,1062720.38,0,2921250.5
Valleé du Bandama,1_analytic_mean,28687,20,1998,1,1,7659389,0,33210214
Woroba,1_analytic_mean,28687,20,1998,1,1,786585.44,0,3075000.5
Zanzan,1_analytic_mean,28690,20,1998,1,1,16605.01,0,153750.09
Valleé du Bandama,1_analytic_mean,28690,20,1998,1,1,49815.03,0,461250.34
Lacs,1_analytic_mean,28699,20,1998,1,1,627915.31,0,1383750.38
Valleé du Bandama,1_analytic_mean,28699,20,1998,1,1,7910973.5,0,38130280
Lacs,1_analytic_mean,28708,20,1998,1,1,5323748,0,18142518
District Autonome de Yamoussoukro,1_analytic_mean,28708,20,1998,1,1,49815.03,0,461250.34
Valleé du Bandama,1_analytic_mean,28708,20,1998,1,1,635602.62,0,4766250.5
Lagunes,1_analytic_mean,28722,20,1998,1,1,4403093.5,0,7533750.5
Comoé,1_analytic_mean,28722,20,1998,1,1,4707825.5,0,11531251
Zanzan,1_analytic_mean,28752,20,1998,1,1,16605.01,0,153750.09
Woroba,1_analytic_mean,28755,20,1998,1,1,674962.88,0,3382500.5
Comoé,1_analytic_mean,28764,20,1998,1,1,682650.31,0,2460000.5
Zanzan,1_analytic_mean,28764,20,1998,1,1,49815.03,0,461250.34
Lagunes,1_analytic_mean,28816,21,1999,1,1,16605.01,0,153750.09
District Autonome d'Abidjan,1_analytic_mean,28816,21,1999,1,1,16605.01,0,153750.09
Bas-Sassandra,1_analytic_mean,28866,21,1999,1,1,728467.88,0,2767500.5
Denguele,1_analytic_mean,28910,22,2000,1,1,16605.01,0,153750.09
Comoé,1_analytic_mean,28948,23,2001,1,1,774900.25,0,4151250.5
Bas-Sassandra,1_analytic_mean,28949,23,2001,1,1,16605.01,0,153750.09
Montagnes,1_analytic_mean,28949,23,2001,1,1,202950.12,0,1383750.38
Sassandra-Marahoué,1_analytic_mean,28949,23,2001,1,1,269370.09,0,1998750.38
